display  D   display_settings.c:202  debug_display_settings           [   0.09291] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.09293] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.09294] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.09296] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.09297] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09298] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.09299] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09301] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.09302] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09303] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.09304] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.09306] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.09307] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.09309] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.09310] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09311] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.09312] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09314] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.09315] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09316] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.09317] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.09319] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.09320] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.09322] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.09323] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09324] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.09325] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09327] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.09328] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09329] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.09330] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09332] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09333] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09335] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09337] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09339] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09340] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09341] Single Buffer requirement not met.
